1994-01-01 | Size of misc in tokens: 1321905
         0 | Viertes Gesetz zur Aufhebung des Besatzungsrechts
         0 | Gesetz zu dem Vertrag vom 27. Oktober 1956 zwischen der Bundesrepublik Deutschland, der Französischen Republik und dem Großherzogtum Luxemburg über die Schiffbarmachung der Mosel
         0 | Gesetz über Sachleistungen für Reichsaufgaben
         0 | Gesetz betreffend das Übereinkommen über die Sklaverei
         0 | Gesetz zu dem Gemeinsamen Protokoll vom 21. September 1988 über die Anwendung des Wiener Übereinkommens und des Pariser Übereinkommens (Gesetz zu dem Gemeinsamen Protokoll über die Anwendung des Wiener Übereinkommens und des Pariser Übereinkommens)
         0 | Gesetz über die Feststellung des Wirtschaftsplans des ERP-Sondervermögens für das Rechnungsjahr 1966
         0 | Gesetz zu dem Übereinkommen vom 29. März 1982 über die Errichtung einer Europäischen Stiftung
         0 | Gesetz über das Abkommen zur Vollstreckung ausländischer Schiedssprüche
         0 | Gesetz über die Feststellung der Wirtschaftspläne des ERP-Sondervermögens für das Rechnungsjahr 1969
         0 | Gesetz zu dem Übereinkommen vom 28. September 1954 über die Rechtsstellung der Staatenlosen
         0 | Gesetz betreffend die Überleitung von Hypotheken des früheren Rechtes
         0 | Gesetz über die Feststellung des Wirtschaftsplans des ERP-Sondervermögens für das Rechnungsjahr 1964
         0 | Gesetz über das Zusatzabkommen zum Abkommen vom 6. Dezember 1920 zwischen dem Deutschen Reiche und der Schweizerischen Eidgenossenschaft betreffend schweizerische Goldhypotheken in Deutschland und gewisse Arten von Frankenforderungen an deutsche Schuldner
         0 | Gesetz zu dem Übereinkommen vom 23. Oktober 1969 zur Erhaltung der lebenden Schätze des Südostatlantiks, zu dem Protokoll vom 21. Januar 1972 zur Änderung des Übereinkommens vom 20. Dezember 1962 über den Schutz des Lachsbestandes in der Ostsee, zur Konvention vom 13. September 1973 über die Fischerei und den Schutz der lebenden Ressourcen in der Ostsee und den Belten sowie zur Änderung des Seefischerei-Vertragsgesetzes 1971
         0 | Gesetz zum Beitritt der Bundesrepublik Deutschland zur Charta der Vereinten Nationen
         0 | Gesetz zu den Abkommen über die Zusammenarbeit bei der Bekämpfung der Organisierten Kriminalität zwischen der Regierung der Bundesrepublik Deutschland und der Regierung der Republik Litauen vom 23. Februar 2001 und zwischen der Regierung der Bundesrepublik Deutschland und der Regierung der Republik Slowenien vom 2. März 2001
         0 | Gesetz über das Vormundschaftsabkommen zwischen dem Deutschen Reiche und der Republik Österreich
         0 | Gesetz zur Begrenzung der Ausgaben der gesetzlichen Krankenversicherung für das Jahr 2003
         0 | Gesetz zu dem Übereinkommen vom 18. November 1974 über ein Internationales Energieprogramm
         0 | Gesetz über ein Informationssystem zur Bewertung medizinischer Technologien
         0 | Gesetz über die Liquidierung des Umlaufs an Rentenbankscheinen
         0 | Gesetz über die Zweite Vereinbarung zur Ergänzung des Allgemeinen Abkommens zwischen der Bundesrepublik Deutschland und Frankreich über die Soziale Sicherheit und über die Fünfte Zusatzvereinbarung über die Einbeziehung des Landes Berlin in das Allgemeine Abkommen nebst Briefen
         0 | Gesetz zur Absenkung der Preise für zahntechnische Leistungen
         0 | Gesetz zu dem Übereinkommen vom 16. November 1989 gegen Doping
         0 | Gesetz zu dem Abkommen vom 22. Oktober 1986 zwischen der Bundesrepublik Deutschland und der Schweizerischen Eidgenossenschaft über die Haftung gegenüber Dritten auf dem Gebiet der Kernenergie
         0 | Gesetz über den Eintritt der Freistaaten Bayern und Baden in die Biersteuergemeinschaft
         0 | Gesetz zu dem Übereinkommen vom 21. März 1983 über die Überstellung verurteilter Personen
         0 | Sozialgesetzbuch - Allgemeiner Teil -
         0 | Gesetz über die Deutsche Reichsbank
         0 | Gesetz betreffend die Anwendung landesgesetzlicher Vorschriften über Bahneinheiten
         0 | Gesetz zu dem Abkommen vom 16. Februar 1962 zwischen der Bundesrepublik Deutschland und dem Großherzogtum Luxemburg über die Zusammenlegung der Grenzabfertigung und über die Errichtung von Gemeinschafts- oder Betriebswechselbahnhöfen an der deutsch-luxemburgischen Grenze
         0 | Gesetz zur Änderung des Offshore-Steuergesetzes
         0 | Gesetz zur Milderung dringender sozialer Notstände
         0 | Gesetz zu dem Abkommen vom 8. März 1960 zwischen der Bundesrepublik Deutschland und der Französischen Republik über den Schutz von Herkunftsangaben, Ursprungsbezeichnungen und anderen geographischen Bezeichnungen
         0 | Gesetz über Zinsermäßigung bei den öffentlichen Anleihen
         0 | Gesetz zu dem Übereinkommen vom 22. März 1985 zum Schutz der Ozonschicht
         0 | Gesetz über das Abkommen vom 30. Juni 1955 zwischen der Bundesrepublik Deutschland und den Vereinigten Staaten von Amerika über gegenseitige Verteidigungshilfe
         0 | Gesetz über das Deutsche Rote Kreuz
         0 | Gesetz über das Abkommen vom 18. April 1958 zwischen der Bundesrepublik Deutschland und der Französischen Republik über nebeneinanderliegende nationale Grenzabfertigungsstellen und Gemeinschafts- oder Betriebswechselbahnhöfe an der deutsch-französischen Grenze
         0 | Drittes Gesetz zur Aufhebung des Besatzungsrechts
         0 | Gesetz zu dem Internationalen Kakao-Übereinkommen von 1980
         0 | Gesetz, betreffend die Unzulässigkeit der Pfändung von Eisenbahnfahrbetriebsmitteln
         0 | Gesetz zu dem Übereinkommen vom 1. September 1970 über internationale Beförderungen leicht verderblicher Lebensmittel und über die besonderen Beförderungsmittel, die für diese Beförderungen zu verwenden sind (ATP)
         0 | Gesetz zu dem Zollübereinkommen vom 14. November 1975 über den internationalen Warentransport mit Carnets TIR (TIR-Übereinkommen 19/5)
         0 | Gesetz über die Vereinbarung zwischen der Bundesrepublik Deutschland und der Schweizerischen Eidgenossenschaft über die Fürsorge für Hilfsbedürftige nebst Schlußprotokoll
         0 | Gesetz über die Feststellung des Wirtschaftsplans des ERP-Sondervermögens für das Rechnungsjahr 1962
         0 | Gesetz zu dem Vertrag vom 15. Juni 1964 zwischen der Bundesrepublik Deutschland und der Republik von Portugal über die Auslieferung und die Rechtshilfe in Strafsachen
         0 | Gesetz betreffend den Schutz von Mustern auf Ausstellungen
         0 | Gesetz zu dem Abkommen vom 21. Oktober 1971 zur Änderung des Zusatzabkommens vom 3. August 1959 zu dem Abkommen zwischen den Parteien des Nordatlantikvertrags über die Rechtsstellung ihrer Truppen hinsichtlich der in der Bundesrepublik Deutschland stationierten ausländischen Truppen
         0 | Reichsjagdgesetz
         0 | Gesetz zu dem Abkommen vom 15. März 1978 zwischen der Bundesrepublik Deutschland und Mauritius zur Vermeidung der Doppelbesteuerung auf dem Gebiet der Steuern vom Einkommen und vom Vermögen und zur Förderung des Handels und der Investitionstätigkeit zwischen den beiden Staaten
         0 | Gesetz zu dem Übereinkommen vom 19. November 1984 zur Errichtung der Interamerikanischen Investitionsgesellschaft
         0 | Gesetz über die Anrechnung von Dienstzeiten im öffentlichen Dienst auf die beamtenrechtliche Probezeit nach dem Einigungsvertrag
         0 | Gesetz zu den Verträgen vom 25. März 1957 zur Gründung der Europäischen Wirtschaftsgemeinschaft und der Europäischen Atomgemeinschaft
         0 | Gesetz über den Staatsvertrag betreffend den Übergang der Wasserstraßen von den Ländern auf das Reich (Anhang zum Gesetz über die vermögensrechtlichen Verhältnisse der Bundeswasserstraßen)
         0 | Gesetz über die Feststellung des Wirtschaftsplans des ERP-Sondervermögens für das Rechnungsjahr 1967
         0 | Gesetz zu dem Abkommen vom 7. Januar 1986 zur Änderung des Abkommens vom 17. Dezember 1973 zwischen der Bundesrepublik Deutschland und dem Staat Israel über Soziale Sicherheit
         0 | Gesetz zur Vereinfachung und Verbilligung der Verwaltung
         0 | Gesetz zu dem Zollübereinkommen von Brüssel vom 6. Dezember 1961 über das Carnet A.T.A. für die vorübergehende Einfuhr von Waren
         0 | Gesetz zur Ausführung des Abkommens über den Zivilprozeß vom 17. Juli 1905
         0 | Gesetz zu dem Internationalen Kaffee-Übereinkommen von 1983 und zur Verlängerung des Internationalen Kaffee-Übereinkommens von 1976
         0 | Gesetz zu dem Internationalen Freibord-Übereinkommen von 1966 vom 5. April 1966
         0 | Gesetz über die Eisenbahnaufsicht
         0 | Gesetz zu dem Internationalen Pakt vom 19. Dezember 1966 über bürgerliche und politische Rechte
         0 | Gesetz zur Regelung der Verjährung von Ansprüchen wegen unberechtigter oder rechtswidriger Erlangung von Gegenwerten aus Transferrubelgeschäften
         0 | Gesetz über den Eintritt des Freistaats Württemberg in die Biersteuergemeinschaft
         0 | Gesetz zum Protokoll vom 30. November 1978 zu dem Abkommen vom 11. August 1971 zwischen der Bundesrepublik Deutschland und der Schweizerischen Eidgenossenschaft zur Vermeidung der Doppelbesteuerung auf dem Gebiete der Steuern vom Einkommen und vom Vermögen
         0 | Gesetz zu dem Abkommen vom 29. Mai 1980 zwischen der Bundesrepublik Deutschland und dem Staat Israel zur Vermeidung der Doppelbesteuerung auf dem Gebiet der Nachlaß- und Erbschaftssteuern in der Fassung des Änderungsprotokolls vom 20. Januar 1984
         0 | Gesetz zu dem Vertrag vom 12. Juni 1985 und dem Beitritt des Königreichs Spanien und der Portugiesischen Republik zur Europäischen Wirtschaftsgemeinschaft, zur Europäischen Atomgemeinschaft und zur Europäischen Gemeinschaft für Kohle und Stahl
         0 | Gesetz über die Feststellung des Wirtschaftsplans des ERP-Sondervermögens für das Jahr 2004
         0 | Gesetz zu dem Abkommen vom 20. April 1960 zwischen der Bundesrepublik Deutschland und dem Vereinigten Königreich Großbritannien und Nordirland über Arbeitslosenversicherung
         0 | Gesetz zu den Haager übereinkommen vom 2. Oktober 1973 über die Anerkennung und Vollstreckung von Unterhaltsentscheidungen sowie über das auf Unterhaltspflichten anzuwendende Recht
         0 | Gesetz zu dem Übereinkommen vom 20. März 1958 über die Annahme einheitlicher Bedingungen für die Genehmigung der Ausrüstungsgegenstände und Teile von Kraftfahrzeugen und über die gegenseitige Anerkennung der Genehmigung
         0 | Gesetz zum Vertrag vom 21. April 1965 zwischen der Bundesrepublik Deutschland und dem Australischen Bund über die Aufteilung der von der Regierung des Staates Israel für das deutsche weltliche Vermögen in Israel gezahlten Entschädigung auf Deutschland und Australien
         0 | Gesetz über die Anerkennung von Nottrauungen
         0 | Gesetz zu dem Übereinkommen vom 19. Juni 1980 über das auf vertragliche Schuldverhältnisse anzuwendende Recht
         0 | Gesetz zur Ausgleichszahlung durch die Träger der gesetzlichen Rentenversicherung an die Krankenkassen
         0 | Gesetz über den Vertrag über Rechtsschutz und Rechtshilfe und den Beglaubigungsvertrag zwischen dem Deutschen Reich und der Republik Österreich
         0 | Gesetz zu dem Vertrag vom 14. November 1983 zwischen der Bundesrepublik Deutschland und Spanien über die Anerkennung und Vollstreckung von gerichtlichen Entscheidungen und Vergleichen sowie vollstreckbaren öffentlichen Urkunden in Zivil- und Handelssachen
         0 | Gesetz zum Antarktis-Vertrag vom 1. Dezember 1959
         0 | Artikel IX des Gesetzes zur Änderung und Ergänzung kostenrechtlicher Vorschriften
         0 | Gesetz zu dem Vertrag vom 16. April 2003 über den Beitritt der Tschechischen Republik, der Republik Estland, der Republik Zypern, der Republik Lettland, der Republik Litauen, der Republik Ungarn, der Republik Malta, der Republik Polen, der Republik Slowenien und der Slowakischen Republik zur Europäischen Union
         0 | Preußisches Landesrentenbankgesetz
         0 | Gesetz zu dem Übereinkommen vom 15. Juni 1990 über die Bestimmung des zuständigen Staates für die Prüfung eines in einem Mitgliedstaat der Europäischen Gemeinschaften gestellten Asylantrags
         0 | Gesetz über die Feststellung des Wirtschaftsplans des ERP-Sondervermögens für das Rechnungsjahr 1965
         0 | Gesetz zu dem Protokoll vom 17. Oktober 1989 zu dem Abkommen vom 11. August 1971 zwischen der Bundesrepublik Deutschland und der Schweizerischen Eidgenossenschaft zur Vermeidung der Doppelbesteuerung auf dem Gebiete der Steuern vom Einkommen und vom Vermögen in der Fassung des Protokolls vom 30. November 1978
         0 | Gesetz über die Presse
         0 | Gesetz zu dem Beschluß und Akt des Rates der Europäischen Gemeinschaften vom 20. September 1976 zur Einführung allgemeiner unmittelbarer Wahlen der Abgeordneten der Versammlung
         0 | Gesetz zu dem Europäischen Übereinkommen vom 10. Mai 1979 über den Schutz von Schlachttieren
         0 | Gesetz über das deutsch-schweizerische Abkommen über die gegenseitige Anerkennung und Vollstreckung von gerichtlichen Entscheidungen und Schiedssprüchen
         0 | Gesetz über den Beitritt der Bundesrepublik Deutschland zur Konvention vom 5. April 1946 der Internationalen Überfischungskonferenz
         0 | Gesetz zu dem Übereinkommen vom 20. Oktober 1972 über die Internationalen Regeln zur Verhütung von Zusammenstößen auf See
         0 | Gesetz zu dem Europäischen Übereinkommen vom 25. Oktober 1967 über die theoretische und praktische Ausbildung von Krankenschwestern und Krankenpflegern
         0 | Gesetz zu dem Vierten AKP-EWG-Abkommen von Lome vom 15. Dezember 1989 sowie zu den mit diesem Abkommen in Zusammenhang stehenden Abkommen
         0 | Gesetz über die Pfändung von Miet- und Pachtzinsforderungen wegen Ansprüche aus öffentlichen Grundstückslasten
         0 | -
         0 | Gesetz über die Feststellung des Bundeshaushaltsplans für das Haushaltsjahr 2004
         0 | Gesetz zu dem Vertrag vom 21. Dezember 1972 zwischen der Bundesrepublik Deutschland und der Deutschen Demokratischen Republik über die Grundlagen der Beziehungen zwischen der Bundesrepublik Deutschland und der Deutschen Demokratischen Republik
         0 | Erstes Gesetz zur Aufhebung des Besatzungsrechts
         0 | Gesetz zum Zusatzprotokoll vom 15. März 1978 zum Europäischen Übereinkommen betreffend Auskünfte über ausländisches Recht
         0 | Gesetz über die Aussetzung der Anpassung der Renten zum 1. Juli 2004
         0 | Gesetz zur Vereinbarung von Entgelten für die Behandlung von Blutern im Jahr 2003
         0 | Gesetz zu dem Übereinkommen vom 22. März 1974 über den Schutz der Meeresumwelt des Ostseegebiets
         0 | Gesetz zu dem Abkommen vom 10. Juni 1985 zwischen der Bundesrepublik Deutschland und der Volksrepublik China zur Vermeidung der Doppelbesteuerung auf dem Gebiet der Steuern vom Einkommen und vom Vermögen
         0 | Gesetz zur Anwendung des Umweltauditgesetzes und seiner Rechtsverordnungen auf die Verordnung (EG) Nr. 761/2001 des Europäischen Parlaments und des Rates vom 19. März 2001 über die freiwillige Beteiligung von Organisationen an einem Gemeinschaftssystem für das Umweltmanagement und die Umweltbetriebsprüfung
